"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE_X","VARIANCE_Y","STD_DXDY","STD_DDXDDY","MOTION_SMOOTHNESS","SNAP","ARCLENGTH","CURVATUREMAXCOUNT"
"T9_1_t1_aug_perturb_Y","1","0","0","0","0","30.0","0","0.007309865554199928","0.0819240998492969","0.025802513928547034","0.03317220674724119","12.94311385775394","0.9087235106011565","3.270623448735368","20"
"T9_1_t1_aug_pertub_X,perturb_Y","1","0","0","0","0","30.0","0","0.007309865554199928","0.08340988849429493","0.025917682810567336","0.032329357496775145","13.077759434286657","0.8508552049883932","3.2179217394134683","18"
"T9_1_t10_aug_perturb_X","1","0","0","0","1","13.6","0","0.07354530613267918","0.009011368226202045","0.04353493618858924","0.0437643403545059","6.228210394868701","0.7959658750756928","2.6006005545560464","5"
"T9_1_t10_aug_perturb_Y","1","0","0","0","1","13.6","0","0.0743754540085813","0.0089132200371412","0.04424009384625611","0.04595194822493784","6.243427111382073","0.858238777561925","2.6489455731760665","4"
"T9_1_t10_aug_pertub_X,perturb_Y","1","0","0","0","1","13.6","0","0.0743754540085813","0.00874516706691709","0.04342764059654732","0.04697913412953803","6.3017815264963986","0.8788391976356439","2.6451692226167007","5"
"T9_1_t11_aug_perturb_X","1","1","0","0","0","11.64","0","0.010994760696851976","0.037819115515665795","0.03551523895769488","0.03290187054175024","3.985178350868838","0.5231374727858722","1.8709709554412812","4"
"T9_1_t11_aug_perturb_Y","1","1","0","0","0","11.64","0","0.010587321077581225","0.03730412406410315","0.035574185317235316","0.033304668688799485","3.9049856317908698","0.5361360244225513","1.8386425409283462","4"
"T9_1_t11_aug_pertub_X,perturb_Y","1","1","0","0","0","11.64","0","0.010587321077581225","0.037843018665257945","0.03672652683112981","0.035101453867193155","3.883511481282616","0.5533220023650637","1.9198835611368323","4"
"T9_1_t12_aug_perturb_X","2","0","1","12","3","38.64","0","0.06924347832572234","0.04693756195867683","0.03440012666376191","0.0339101170181789","13.950924648786588","0.9474223514098069","4.973220392109645","13"
"T9_1_t12_aug_perturb_Y","2","0","1","12","3","38.64","0","0.06933142387517202","0.04623572556178578","0.03423292969869131","0.03329553448774977","13.812697170027494","0.9213247092843284","4.945561395322231","11"
"T9_1_t12_aug_pertub_X,perturb_Y","2","0","1","12","3","38.64","0","0.06933142387517202","0.046849809322564946","0.034661660449634375","0.03513629570936959","13.817487802194409","1.0163756551264242","5.050551294881052","12"
"T9_1_t2_aug_perturb_X","2","1","2","50","0","27.76","0","0.06802038201069441","0.013383138976216446","0.031148315616306127","0.04048245560771045","8.03896090780522","1.131593153413061","3.529621345239883","11"
"T9_1_t2_aug_perturb_Y","2","1","2","50","0","27.76","0","0.06846675658572746","0.01340571434377828","0.03213169408386467","0.042302098833663225","8.12602327758599","1.1733485267699149","3.6785010365300197","12"
